SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,SCENARIO
15,DC:A6:32:55:FC:D8,2020-07-13 20:45:14.015576,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66,0.5,both_hand_list
16,DC:A6:32:55:FC:D8,2020-07-13 20:45:16.020183,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-66,0.5,both_hand_list
17,DC:A6:32:55:FC:D8,2020-07-13 20:45:17.714472,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67,0.5,both_hand_list
18,DC:A6:32:55:FC:D8,2020-07-13 20:45:18.184920,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69,0.5,both_hand_list
19,DC:A6:32:55:FC:D8,2020-07-13 20:45:20.189762,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69,0.5,both_hand_list
20,DC:A6:32:55:FC:D8,2020-07-13 20:45:21.178361,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69,0.5,both_hand_list
21,DC:A6:32:55:FC:D8,2020-07-13 20:45:22.090883,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68,0.5,both_hand_list
22,DC:A6:32:55:FC:D8,2020-07-13 20:45:23.183272,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67,0.5,both_hand_list
23,DC:A6:32:55:FC:D8,2020-07-13 20:45:24.061176,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69,0.5,both_hand_list
24,DC:A6:32:55:FC:D8,2020-07-13 20:45:26.066515,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-70,0.5,both_hand_list
25,DC:A6:32:55:FC:D8,2020-07-13 20:45:27.233879,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71,0.5,both_hand_list
26,DC:A6:32:55:FC:D8,2020-07-13 20:45:28.121416,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68,0.5,both_hand_list
27,DC:A6:32:55:FC:D8,2020-07-13 20:45:29.127473,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68,0.5,both_hand_list
28,DC:A6:32:55:FC:D8,2020-07-13 20:45:30.670365,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69,0.5,both_hand_list
29,DC:A6:32:55:FC:D8,2020-07-13 20:45:31.102138,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69,0.5,both_hand_list
30,DC:A6:32:55:FC:D8,2020-07-13 20:45:32.042132,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-70,0.5,both_hand_list
31,DC:A6:32:55:FC:D8,2020-07-13 20:45:33.686401,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71,0.5,both_hand_list
32,DC:A6:32:55:FC:D8,2020-07-13 20:45:34.151867,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-67,0.5,both_hand_list
33,DC:A6:32:55:FC:D8,2020-07-13 20:45:36.156658,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71,0.5,both_hand_list
34,DC:A6:32:55:FC:D8,2020-07-13 20:45:38.062798,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68,0.5,both_hand_list
35,DC:A6:32:55:FC:D8,2020-07-13 20:45:40.067576,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68,0.5,both_hand_list
36,DC:A6:32:55:FC:D8,2020-07-13 20:45:41.709853,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69,0.5,both_hand_list
37,DC:A6:32:55:FC:D8,2020-07-13 20:45:42.323577,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-69,0.5,both_hand_list
38,DC:A6:32:55:FC:D8,2020-07-13 20:45:43.600802,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68,0.5,both_hand_list
39,DC:A6:32:55:FC:D8,2020-07-13 20:45:44.103825,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68,0.5,both_hand_list
40,DC:A6:32:55:FC:D8,2020-07-13 20:45:46.108046,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-68,0.5,both_hand_list
41,DC:A6:32:55:FC:D8,2020-07-13 20:45:48.112943,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-70,0.5,both_hand_list
42,DC:A6:32:55:FC:D8,2020-07-13 20:45:49.093944,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-71,0.5,both_hand_list
0,DC:A6:32:55:FC:D8,2020-07-13 20:46:39.971175,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
1,DC:A6:32:55:FC:D8,2020-07-13 20:46:40.049386,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-50,0.25,both_hand_list
2,DC:A6:32:55:FC:D8,2020-07-13 20:46:42.054655,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
3,DC:A6:32:55:FC:D8,2020-07-13 20:46:44.059450,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-49,0.25,both_hand_list
4,DC:A6:32:55:FC:D8,2020-07-13 20:46:45.392323,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-49,0.25,both_hand_list
5,DC:A6:32:55:FC:D8,2020-07-13 20:46:47.022752,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
6,DC:A6:32:55:FC:D8,2020-07-13 20:46:48.113962,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-50,0.25,both_hand_list
7,DC:A6:32:55:FC:D8,2020-07-13 20:46:49.740499,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
8,DC:A6:32:55:FC:D8,2020-07-13 20:46:50.056100,20359444-c561-11ea-9ad1-dca63255fcd7,1,1,1,-51,0.25,both_hand_list
