SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,DISTANCE,SCENARIO
15,DC:A6:32:55:FC:D8,2020-07-12 17:10:15.074592,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-67,1.5,trans_thin_list
16,DC:A6:32:55:FC:D8,2020-07-12 17:10:16.130763,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69,1.5,trans_thin_list
17,DC:A6:32:55:FC:D8,2020-07-12 17:10:18.156136,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66,1.5,trans_thin_list
18,DC:A6:32:55:FC:D8,2020-07-12 17:10:20.162144,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5,trans_thin_list
19,DC:A6:32:55:FC:D8,2020-07-12 17:10:22.167116,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66,1.5,trans_thin_list
20,DC:A6:32:55:FC:D8,2020-07-12 17:10:23.134569,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,1.5,trans_thin_list
21,DC:A6:32:55:FC:D8,2020-07-12 17:10:25.139721,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,1.5,trans_thin_list
22,DC:A6:32:55:FC:D8,2020-07-12 17:10:27.144673,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,1.5,trans_thin_list
23,DC:A6:32:55:FC:D8,2020-07-12 17:10:29.149727,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,1.5,trans_thin_list
24,DC:A6:32:55:FC:D8,2020-07-12 17:10:31.154798,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66,1.5,trans_thin_list
25,DC:A6:32:55:FC:D8,2020-07-12 17:10:33.159757,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-69,1.5,trans_thin_list
26,DC:A6:32:55:FC:D8,2020-07-12 17:10:35.164924,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5,trans_thin_list
27,DC:A6:32:55:FC:D8,2020-07-12 17:10:37.169852,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5,trans_thin_list
28,DC:A6:32:55:FC:D8,2020-07-12 17:10:38.485484,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68,1.5,trans_thin_list
29,DC:A6:32:55:FC:D8,2020-07-12 17:10:39.834880,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-72,1.5,trans_thin_list
30,DC:A6:32:55:FC:D8,2020-07-12 17:10:40.014780,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5,trans_thin_list
31,DC:A6:32:55:FC:D8,2020-07-12 17:10:42.019923,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-71,1.5,trans_thin_list
32,DC:A6:32:55:FC:D8,2020-07-12 17:10:44.024923,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-66,1.5,trans_thin_list
0,DC:A6:32:55:FC:D8,2020-07-12 17:02:01.692947,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68,2.5,trans_thin_list
1,DC:A6:32:55:FC:D8,2020-07-12 17:02:02.128196,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,2.5,trans_thin_list
2,DC:A6:32:55:FC:D8,2020-07-12 17:02:03.090655,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-68,2.5,trans_thin_list
3,DC:A6:32:55:FC:D8,2020-07-12 17:02:05.095890,a93f4238-c482-11ea-bd43-dca63255fcd7,1,1,1,-70,2.5,trans_thin_list
